attack_cat,qfs_index,selection_algorithm_name,QUBO_solver,target_feature_k,device,graph_time,train_time,test_time,peak_memory,accuracy,bal_accuracy,f1_malicious,precision_malicious,recall_malicious
reconnaissance,3147,QUBOMutualInformation,SteepestDescent,11,cuda:2,2.72,7.38,0.0856,1336.95,0.99723,0.99206,0.97143,0.95695,0.98635
reconnaissance,3158,QUBOMutualInformation,SteepestDescent,22,cuda:2,2.76,7.51,0.0854,1394.61,0.99829,0.9914,0.98211,0.98044,0.98379
reconnaissance,3169,QUBOMutualInformation,SteepestDescent,33,cuda:2,2.77,7.63,0.0857,1453.25,0.99914,0.99773,0.99109,0.98606,0.99616
reconnaissance,3191,QUBOMutualInformation,TabuSampler,11,cuda:2,2.86,7.77,0.0876,1501.35,0.9988,0.99086,0.98735,0.99267,0.98208
reconnaissance,3202,QUBOMutualInformation,TabuSampler,22,cuda:2,2.85,7.76,0.088,1501.35,0.9988,0.99086,0.98735,0.99267,0.98208
reconnaissance,3213,QUBOMutualInformation,TabuSampler,33,cuda:2,2.85,7.74,0.0871,1501.35,0.9988,0.99086,0.98735,0.99267,0.98208
reconnaissance,3235,QUBOSVCBoosting,SimulatedAnnealing,11,cuda:2,2.71,7.32,0.0846,1298.77,0.99658,0.98524,0.96447,0.95638,0.9727
reconnaissance,3246,QUBOSVCBoosting,SimulatedAnnealing,22,cuda:2,2.72,7.39,0.0849,1341.53,0.99811,0.98948,0.98016,0.98037,0.97995
reconnaissance,3257,QUBOSVCBoosting,SimulatedAnnealing,33,cuda:2,2.76,7.49,0.0864,1379.2,0.9987,0.99385,0.98638,0.98428,0.98848
reconnaissance,3279,QUBOSVCBoosting,SteepestDescent,11,cuda:2,2.68,7.32,0.0862,1298.77,0.99745,0.98063,0.97303,0.98429,0.96203
reconnaissance,3290,QUBOSVCBoosting,SteepestDescent,22,cuda:2,2.73,7.38,0.0862,1341.53,0.99697,0.97369,0.96756,0.98799,0.94795
reconnaissance,3301,QUBOSVCBoosting,SteepestDescent,33,cuda:2,2.75,7.47,0.0849,1379.2,0.99882,0.99594,0.98769,0.98269,0.99275
reconnaissance,3323,QUBOSVCBoosting,TabuSampler,11,cuda:2,2.73,7.38,0.0855,1320.26,0.99792,0.99425,0.9785,0.96708,0.99019
reconnaissance,3334,QUBOSVCBoosting,TabuSampler,22,cuda:2,2.73,7.49,0.084,1373.67,0.99884,0.99433,0.98786,0.98639,0.98933
reconnaissance,3345,QUBOSVCBoosting,TabuSampler,33,cuda:2,2.76,7.33,0.0863,1431.87,0.99874,0.99407,0.9868,0.98471,0.98891
analysis,9,QUBOCorrelation,SimulatedAnnealing,10,cuda:2,0.41,1.74,0.0272,261.69,0.99898,0.99947,0.98964,0.9795,1.0
analysis,20,QUBOCorrelation,SimulatedAnnealing,21,cuda:2,0.41,1.75,0.0273,272.46,0.99898,0.99947,0.98964,0.9795,1.0
analysis,30,QUBOCorrelation,SimulatedAnnealing,31,cuda:2,0.42,1.73,0.0272,282.35,0.99898,0.99947,0.98964,0.9795,1.0
analysis,50,QUBOCorrelation,SteepestDescent,10,cuda:2,0.4,1.74,0.0273,261.69,0.99898,0.99947,0.98964,0.9795,1.0
analysis,61,QUBOCorrelation,SteepestDescent,21,cuda:2,0.41,1.75,0.0274,272.46,0.99898,0.99947,0.98964,0.9795,1.0
analysis,71,QUBOCorrelation,SteepestDescent,31,cuda:2,0.42,1.74,0.0274,282.35,0.99898,0.99947,0.98964,0.9795,1.0
analysis,91,QUBOCorrelation,TabuSampler,10,cuda:2,0.41,1.76,0.0281,276.42,0.99898,0.99947,0.98964,0.9795,1.0
analysis,102,QUBOCorrelation,TabuSampler,21,cuda:2,0.42,1.78,0.0274,286.6,0.99898,0.99947,0.98964,0.9795,1.0
analysis,112,QUBOCorrelation,TabuSampler,31,cuda:2,0.43,1.79,0.0277,292.59,0.99898,0.99947,0.98964,0.9795,1.0
analysis,132,QUBOMutualInformation,SimulatedAnnealing,10,cuda:2,0.38,1.74,0.0266,263.56,0.99898,0.99947,0.98964,0.9795,1.0
analysis,143,QUBOMutualInformation,SimulatedAnnealing,21,cuda:2,0.42,1.74,0.0272,274.44,0.99898,0.99947,0.98964,0.9795,1.0
