attack_cat,qfs_index,selection_algorithm_name,QUBO_solver,target_feature_k,device,graph_time,train_time,test_time,accuracy,bal_accuracy,f1_malicious,precision_malicious,recall_malicious
reconnaissance,3334,QUBOSVCBoosting,TabuSampler,22,2×GPU,0,35.92,22.5375,0.99662,0.98482,0.96477,0.95786,0.97178
reconnaissance,3345,QUBOSVCBoosting,TabuSampler,33,2×GPU,0,38.62,22.459,0.99929,0.99617,0.99252,0.99231,0.99273
analysis,9,QUBOCorrelation,SimulatedAnnealing,10,2×GPU,0,13.34,3.8699,0.99864,0.99815,0.98585,0.97436,0.99761
analysis,20,QUBOCorrelation,SimulatedAnnealing,21,2×GPU,0,14.35,5.1679,0.9983,0.9923,0.98216,0.97867,0.98568
analysis,30,QUBOCorrelation,SimulatedAnnealing,31,2×GPU,0,14.58,5.1793,0.99852,0.99582,0.98462,0.97653,0.99284
analysis,50,QUBOCorrelation,SteepestDescent,10,2×GPU,0,13.38,3.8952,0.99864,0.99815,0.98585,0.97436,0.99761
analysis,61,QUBOCorrelation,SteepestDescent,21,2×GPU,0,14.41,5.146,0.99818,0.99111,0.98095,0.97862,0.98329
analysis,71,QUBOCorrelation,SteepestDescent,31,2×GPU,0,14.66,5.2127,0.99852,0.99582,0.98462,0.97653,0.99284
analysis,91,QUBOCorrelation,TabuSampler,10,2×GPU,0,14.49,5.1655,0.9983,0.99457,0.98225,0.97418,0.99045
analysis,102,QUBOCorrelation,TabuSampler,21,2×GPU,0,15.27,5.1706,0.99852,0.99696,0.98465,0.9743,0.99523
analysis,112,QUBOCorrelation,TabuSampler,31,2×GPU,0,15.72,5.1936,0.99852,0.99696,0.98465,0.9743,0.99523
analysis,132,QUBOMutualInformation,SimulatedAnnealing,10,2×GPU,0,14.24,5.1565,0.99818,0.99905,0.98126,0.96322,1.0
analysis,143,QUBOMutualInformation,SimulatedAnnealing,21,2×GPU,0,14.52,5.143,0.9983,0.99684,0.98233,0.96977,0.99523
analysis,153,QUBOMutualInformation,SimulatedAnnealing,31,2×GPU,0,14.8,5.1551,0.99864,0.99815,0.98585,0.97436,0.99761
analysis,173,QUBOMutualInformation,SteepestDescent,10,2×GPU,0,14.27,5.1585,0.99818,0.99905,0.98126,0.96322,1.0
analysis,184,QUBOMutualInformation,SteepestDescent,21,2×GPU,0,14.6,5.2187,0.9983,0.99684,0.98233,0.96977,0.99523
analysis,194,QUBOMutualInformation,SteepestDescent,31,2×GPU,0,14.81,5.1617,0.99852,0.99809,0.98469,0.97209,0.99761
analysis,214,QUBOMutualInformation,TabuSampler,10,2×GPU,0,15.75,5.1875,0.99852,0.99696,0.98465,0.9743,0.99523
analysis,225,QUBOMutualInformation,TabuSampler,21,2×GPU,0,15.69,5.2059,0.99852,0.99696,0.98465,0.9743,0.99523
analysis,235,QUBOMutualInformation,TabuSampler,31,2×GPU,0,15.62,5.1634,0.99852,0.99696,0.98465,0.9743,0.99523
